C:\Users\alexa\Anaconda3\python.exe C:/Users/alexa/PycharmProjects/HaliteBots/evolver.py
Gen 0, 574 s, max_fitness = 0.26666666666666666 using: {'defensive_action_radius': 28.30257569937152, 'max_response': 8, 'safe_docking_distance': 12.558523744843272, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 13, 'zone_dominance_factor_for_docking': 4.200156937446249, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 82.0, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.8511061898179366, 'own_ship_approach_dist': 0.805601795838218, 'tether_dist': 1.375, 'padding': 0.1387334285094013, 'max_horizon': 12.0}
Gen 1, 1610 s, max_fitness = 0.5428571428571428 using: {'defensive_action_radius': 33.15065120702788, 'max_response': 8, 'safe_docking_distance': 12.5, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 4.0, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 68.25478154773148, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 2.831183512852378, 'own_ship_approach_dist': 0.77, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 2, 1684 s, max_fitness = 0.5428571428571428 using: {'defensive_action_radius': 33.15065120702788, 'max_response': 8, 'safe_docking_distance': 12.5, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 4.0, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 68.25478154773148, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 2.831183512852378, 'own_ship_approach_dist': 0.77, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 3, 2348 s, max_fitness = 0.5428571428571428 using: {'defensive_action_radius': 33.15065120702788, 'max_response': 8, 'safe_docking_distance': 12.5, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 4.0, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 68.25478154773148, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 2.831183512852378, 'own_ship_approach_dist': 0.77, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 4, 2941 s, max_fitness = 0.5428571428571428 using: {'defensive_action_radius': 33.15065120702788, 'max_response': 8, 'safe_docking_distance': 12.5, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 4.0, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 68.25478154773148, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 2.831183512852378, 'own_ship_approach_dist': 0.77, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 5, 3886 s, max_fitness = 0.5428571428571428 using: {'defensive_action_radius': 33.15065120702788, 'max_response': 8, 'safe_docking_distance': 12.5, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 4.0, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 68.25478154773148, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 2.831183512852378, 'own_ship_approach_dist': 0.77, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 6, 2533 s, max_fitness = 0.5428571428571428 using: {'defensive_action_radius': 33.15065120702788, 'max_response': 8, 'safe_docking_distance': 12.5, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 4.0, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 68.25478154773148, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 2.831183512852378, 'own_ship_approach_dist': 0.77, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 7, 3065 s, max_fitness = 0.5428571428571428 using: {'defensive_action_radius': 33.15065120702788, 'max_response': 8, 'safe_docking_distance': 12.5, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 4.0, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 68.25478154773148, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 2.831183512852378, 'own_ship_approach_dist': 0.77, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 8, 4519 s, max_fitness = 0.5857142857142857 using: {'defensive_action_radius': 19.395377110893342, 'max_response': 9, 'safe_docking_distance': 9.320665177043733, 'job_base_benefit': 64.8612888216196, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.6066879237126035, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 3.743388128878532, 'safety_check_radius': 13.40803267077277, 'support_radius': 8.5241431000571, 'attack_superiority_ratio': 0.8899883504395929, 'rush_mode_proximity': 86.79193670027678, 'general_approach_dist': 3.684690347507572, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.3647598876184595, 'own_ship_approach_dist': 0.914510719413829, 'tether_dist': 1.2266549708318575, 'padding': 0.1039237205337192, 'max_horizon': 8.670195239909733}
Gen 9, 5053 s, max_fitness = 0.5857142857142857 using: {'defensive_action_radius': 19.395377110893342, 'max_response': 9, 'safe_docking_distance': 9.320665177043733, 'job_base_benefit': 64.8612888216196, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.6066879237126035, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 3.743388128878532, 'safety_check_radius': 13.40803267077277, 'support_radius': 8.5241431000571, 'attack_superiority_ratio': 0.8899883504395929, 'rush_mode_proximity': 86.79193670027678, 'general_approach_dist': 3.684690347507572, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.3647598876184595, 'own_ship_approach_dist': 0.914510719413829, 'tether_dist': 1.2266549708318575, 'padding': 0.1039237205337192, 'max_horizon': 8.670195239909733}
Gen 10, 2456 s, max_fitness = 0.5857142857142857 using: {'defensive_action_radius': 19.395377110893342, 'max_response': 9, 'safe_docking_distance': 9.320665177043733, 'job_base_benefit': 64.8612888216196, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.6066879237126035, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 3.743388128878532, 'safety_check_radius': 13.40803267077277, 'support_radius': 8.5241431000571, 'attack_superiority_ratio': 0.8899883504395929, 'rush_mode_proximity': 86.79193670027678, 'general_approach_dist': 3.684690347507572, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.3647598876184595, 'own_ship_approach_dist': 0.914510719413829, 'tether_dist': 1.2266549708318575, 'padding': 0.1039237205337192, 'max_horizon': 8.670195239909733}
